10 8.040000 7.160000 6.630000 6.650000 7.210000
20 3.440000 2.960000 2.720000 3.240000 3.400000
30 2.950000 2.750000 2.400000 2.590000 2.910000
40 2.910000 2.450000 2.820000 2.460000 3.870000
50 2.850000 2.650000 2.560000 2.820000 4.930000
60 3.060000 2.850000 2.890000 3.190000 4.660000
70 3.370000 3.290000 3.360000 3.160000 4.930000
80 3.710000 3.330000 3.510000 3.710000 5.040000
90 4.210000 3.660000 3.730000 3.880000 4.830000
100 4.830000 3.730000 4.170000 4.430000 5.180000
