0.0001	93.33 0.071694 0.061906 97.91 0.023704 0.018096 11.35 0.89272 0.88028 11.35 0.89272 0.88028
1	83.97 0.16749  0.15311  97.91 0.023704 0.018096 11.35 0.89272 0.88028 11.35 0.89272 0.88028
1000	83.97 0.16749  0.15311  97.91 0.023704 0.018096 11.35 0.89272 0.88028 11.34 0.89281 0.88039
